IB1a;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Technische Informatik 1 Übung;Mathematik 1;Fremdsprachen;Technische Informatik 1;Informatik 1;
;E203;E213;E302;E203;E203;
;Hoffmann, Sutterer;Schaefer;;Hoffmann, Sutterer;Pape;
09:50-11:20;;Technische Informatik 1;Fremdsprachen;Mathematik 1 Labor;Mathematik 1 Labor;
;;E213;E302;LI008;LI141;
;;Hoffmann, Sutterer;;Schaefer;Schaefer;
11:30-13:00;Informatik 1 Übung;Informatik 1;;;;
;LI008;E303;;;;
;Pape;Pape;;;;
14:00-15:30;Theoretische Informatik 1;;Theoretische Informatik 1;Mathematik 1;;
;E304;;E304;E303;;
;Körner;;Körner;Schaefer;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB1b;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;Fremdsprachen;Theoretische Informatik 1;Mathematik 1 Labor;Mathematik 1 Labor;
;;E301;E201;LI141;LI137;
;;;Körner;Schaefer;Schaefer;
09:50-11:20;Informatik 1;Fremdsprachen;;Informatik 1 Übung;Technische Informatik 1 Übung;
;E203;E301;;LI141;E302;
;Pape;;;Pape;Hoffmann, Sutterer;
11:30-13:00;Technische Informatik 1;;;Mathematik 1;Mathematik 1;
;E303;;;E305;E203;
;Hoffmann, Sutterer;;;Schaefer;Schaefer;
14:00-15:30;;Informatik 1;;Technische Informatik 1;;
;;E301;;E304;;
;;Pape;;Hoffmann, Sutterer;;
15:40-17:10;;;;Theoretische Informatik 1;;
;;;;E213;;
;;;;Körner;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB2;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Technische Informatik 2;Informatik 2;Informatik 2;Mathematik 2 Labor;Softwarelabor;
;E303;E203;E303;E303;E303;
;Ditzinger;Vogelsang;Vogelsang;Laubenheimer;;
09:50-11:20;Softwarelabor;Sprachen und Metasprachen;Informatik 2 Übung;Informatik 2 Übung;Softwarelabor;
;E201;E203;E203;E201;E303;
;;Körner;Vogelsang, Weidner;Vogelsang, Weidner;;
11:30-13:00;Softwarelabor;Digital-Labor;;Technische Informatik 2;Mathematik 2;
;E201;E201;;E213;E303;
;;Ditzinger, Link;;Ditzinger;Laubenheimer;
14:00-15:30;;Digital-Labor;;;Web-Programming;
;;E201;;;E213;
;;Ditzinger, Link;;;Pape;
15:40-17:10;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB3a;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Automat. Labor;;Automatisierung;BWL;DB1 und K-Netze1;
;E301;;E304;E305;E305;
;Budwitz;;Budwitz;Haneke;Gmeiner, Steiniger;
09:50-11:20;Automat. Labor;;Systemnah. Progr.;Automatisierung;DB-Praktikum;
;E301;;LI137;E305;E201;
;Budwitz;;Fuchß;Budwitz;Steiniger;
11:30-13:00;Mensch-Maschine-Kommunikation;DB1 und K-Netze1;;Systemnah. Progr.;DB-Praktikum;
;E203;E305;;LI136;E201;
;Mussgnug;Gmeiner, Steiniger;;Fuchß;Steiniger;
14:00-15:30;Mensch-Maschine-Kommunikation;;;DB1 und K-Netze1;BWL;
;E203;;;E201;E302;
;Mussgnug;;;Gmeiner, Steiniger;Haneke;
15:40-17:10;Systemnah. Progr.;;;;;
;LI141;;;;;
;Fuchß;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB3b;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Mensch-Maschine-Kommunikation;Automatisierung;DB-Praktikum;Automatisierung;BWL;
;E213;E302;E301;E302;E213;
;Mussgnug;Budwitz;Steiniger;Budwitz;Haneke;
09:50-11:20;Mensch-Maschine-Kommunikation;DB1 und K-Netze1;DB-Praktikum;DB1 und K-Netze1;;
;E213;E302;E301;E302;;
;Mussgnug;Gmeiner, Steiniger;Steiniger;Gmeiner, Steiniger;;
11:30-13:00;;Automat. Labor;;BWL;;
;;E304;;E302;;
;;Budwitz;;Haneke;;
14:00-15:30;;Automat. Labor;DB1 und K-Netze1;Systemnah. Progr.;;
;;E304;E203;LI136;;
;;Budwitz;Gmeiner, Steiniger;Fuchß;;
15:40-17:10;;Systemnah. Progr.;Systemnah. Progr.;;;
;;LI008;LI136;;;
;;Fuchß;Fuchß;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB4;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Praxisvorbereitung;;;Praxisvorbereitung;;
;E302;;;E304;;
;Körner, Thielemann;;;Körner, Thielemann;;
09:50-11:20;Praxisvorbereitung;Praxisnachbereitung;;Praxisvorbereitung;;
;E302;E201;;E304;;
;Körner, Thielemann;Morgenstern;;Körner, Thielemann;;
11:30-13:00;Praxisvorbereitung;;;Praxisvorbereitung;;
;E302;;;E304;;
;Körner, Thielemann;;;Körner, Thielemann;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB5a;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;SW-Engineering;Verteilte Informationssysteme Labor;Verteilte Informationssysteme Labor;;
;;LI141;LI008;LI137;;
;;Fuchß;Gremminger;Gremminger;;
09:50-11:20;;SW-Engineering;ERP-Systeme;Autonome Systeme und RA;;
;;LI141;E213;E213;;
;;Fuchß;Philipp;Burghart, Ditzinger;;
11:30-13:00;;SW-Engineering;;DB2 und K-Netze2;ERP-Systeme;
;;LI141;;E303;E302;
;;Fuchß;;Rotert;Philipp;
14:00-15:30;Autonome Systeme und RA;SW-Engineering;;;DB2 und K-Netze2;
;E201;LI141;;;E304;
;Burghart, Ditzinger;Fuchß;;;Rotert;
15:40-17:10;;;;;ERP-Labor;
;;;;;E302;
;;;;;Philipp;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB5b;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;SW-Engineering;ERP-Labor;ERP-Systeme;ERP-Systeme;DB2 und K-Netze2;
;LI141;E303;E203;E301;E304;
;Fuchß;Philipp;Philipp;Philipp;Rotert;
09:50-11:20;SW-Engineering;Autonome Systeme und RA;Verteilte Informationssysteme;DB2 und K-Netze2;Autonome Systeme und RA;
;LI141;E303;E304;E203;E203;
;Fuchß;Burghart, Ditzinger;Gremminger;Rotert;Burghart, Ditzinger;
11:30-13:00;SW-Engineering;;;;;
;LI141;;;;;
;Fuchß;;;;;
14:00-15:30;SW-Engineering;;;;Verteilte Informationssysteme;
;LI141;;;;E201;
;Fuchß;;;;Gremminger;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB6;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Robotics;Embedded Software;Modellb. SW-Entw.;Spez. Kap. Software Engineering;Networksecurity;
;E305;E201;E305;E213;E301;
;Haag;Hoffmann;Supp;Fuchß;Magschok;
09:50-11:20;Seminar;Gameprogramming;Labor Bildverarbeitung;Embedded Labor;IT-Consulting;
;E305;E305;E303;LI137;E213;
;Alle Professoren;Henning;Laubenheimer;Hoffmann;Philipp;
11:30-13:00;Recht;Geschäftsprozesse;;Embedded Labor;Intercultural Comm.;
;E301;E301;;LI137;E213;
;Stumpf;Haneke;;Hoffmann;Rose;
14:00-15:30;Computer Vision;Computergrafik;Intercultural Comm.;Rhetorik;Advanced Networking;
;E301;E213;E213;E213;E203;
;Laubenheimer;Henning;Rose;Thielemann;Magschok;
15:40-17:10;Computergrafik;Business Intelligence;Benutzeroberflächen;;Advanced Networking;
;E213;E203;E213;;E203;
;Henning;Haneke;Vogelsang;;Magschok;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IB7;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;Labor Autonome Systeme;;;High Performance Computing;High Performance Computing;
;LI137;;;E301;E301;
;Link;;;Nestler;Nestler;
11:30-13:00;Multimedia;Teamteaching;;High Performance Computing;High Performance Computing;
;E213;E213;;E301;E301;
;Henning;Vogelsang;;Nestler;Nestler;
14:00-15:30;Qualitätssicherung;;;;;
;E305;;;;;
;Hoffmann;;;;;
15:40-17:10;Projektmanagement;;;;;
;E301;;;;;
;Haneke;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IM1;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Projektarbeit1;Führungskräftetraining;Intelligente Systeme;Visualization and Semantics;Verteilte Informationssysteme;
;E304;E305;E213;E201;E201;
;Alle Professoren;Hüttel;Link;Henning;Gremminger;
09:50-11:20;Projektarbeit1;;Visualization and Semantics Lab;Mobile Systeme;;
;E304;;LI141;E303;;
;Alle Professoren;;Henning;Fuchß;;
11:30-13:00;Projektarbeit1;IT Service Management;;;IT Projektmanagement;
;E304;E203;;;E305;
;Alle Professoren;Philipp;;;Haneke;
14:00-15:30;;Modellierung und Simulation;;;Datenrepräsentation und -übertragung;
;;E203;;;E301;
;;Nestler;;;Hoffmann;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
IM2;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Data Mining;Projektarbeit2;;;Dialog Systems;
;E201;E304;;;E302;
;Laubenheimer;Alle Professoren;;;Bröckl;
09:50-11:20;Labor Verteilte Systeme;Projektarbeit2;IT-Sicherheit;;Labor Benutzeroberflächen;
;E303;E304;E305;;E305;
;Gremminger;Alle Professoren;Schaefer;;Vogelsang;
11:30-13:00;;Angewandte Kryptografie;;Seminar;Algorithmen Übung;
;;E302;;E201;E304;
;;Schaefer;;Alle Professoren;Pape;
14:00-15:30;;Algorithmenentwurf;;;;
;;E303;;;;
;;Körner;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Alle Professoren;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Projektarbeit1;Projektarbeit2;;;;
;E304;E304;;;;
;Alle Professoren;Alle Professoren;;;;
09:50-11:20;Seminar;Projektarbeit2;;;;
;E305;E304;;;;
;Alle Professoren;Alle Professoren;;;;
11:30-13:00;Projektarbeit1;;;Seminar;;
;E304;;;E201;;
;Alle Professoren;;;Alle Professoren;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 ;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;Fremdsprachen;Fremdsprachen;;Softwarelabor;
;;E301;E302;;E303;
;;;;;;
09:50-11:20;Softwarelabor;Fremdsprachen;Fremdsprachen;;Softwarelabor;
;E201;E301;E302;;E303;
;;;;;;
11:30-13:00;Softwarelabor;;;;;
;E201;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 !!Noch nicht angelegt;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Bröckl;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;Dialog Systems;
;;;;;E302;
;;;;;Bröckl;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Ditzinger;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Technische Informatik 2;;;;;
;E303;;;;;
;Ditzinger;;;;;
09:50-11:20;;Autonome Systeme und RA;;Autonome Systeme und RA;Autonome Systeme und RA;
;;E303;;E213;E203;
;;Burghart, Ditzinger;;Burghart, Ditzinger;Burghart, Ditzinger;
11:30-13:00;;Digital-Labor;;Technische Informatik 2;;
;;E201;;E213;;
;;Ditzinger, Link;;Ditzinger;;
14:00-15:30;Autonome Systeme und RA;Digital-Labor;;;;
;E201;E201;;;;
;Burghart, Ditzinger;Ditzinger, Link;;;;
15:40-17:10;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Dübon;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Fuchß;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;SW-Engineering;SW-Engineering;;Spez. Kap. Software Engineering;;
;LI141;LI141;;E213;;
;Fuchß;Fuchß;;Fuchß;;
09:50-11:20;SW-Engineering;SW-Engineering;Systemnah. Progr.;Mobile Systeme;;
;LI141;LI141;LI137;E303;;
;Fuchß;Fuchß;Fuchß;Fuchß;;
11:30-13:00;SW-Engineering;SW-Engineering;;Systemnah. Progr.;;
;LI141;LI141;;LI136;;
;Fuchß;Fuchß;;Fuchß;;
14:00-15:30;SW-Engineering;SW-Engineering;;Systemnah. Progr.;;
;LI141;LI141;;LI136;;
;Fuchß;Fuchß;;Fuchß;;
15:40-17:10;Systemnah. Progr.;Systemnah. Progr.;Systemnah. Progr.;;;
;LI141;LI008;LI136;;;
;Fuchß;Fuchß;Fuchß;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Gmeiner;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;DB1 und K-Netze1;
;;;;;E305;
;;;;;Gmeiner, Steiniger;
09:50-11:20;;DB1 und K-Netze1;;DB1 und K-Netze1;;
;;E302;;E302;;
;;Gmeiner, Steiniger;;Gmeiner, Steiniger;;
11:30-13:00;;DB1 und K-Netze1;;;;
;;E305;;;;
;;Gmeiner, Steiniger;;;;
14:00-15:30;;;DB1 und K-Netze1;DB1 und K-Netze1;;
;;;E203;E201;;
;;;Gmeiner, Steiniger;Gmeiner, Steiniger;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Graf;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Gremminger;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;Verteilte Informationssysteme Labor;Verteilte Informationssysteme Labor;Verteilte Informationssysteme;
;;;LI008;LI137;E201;
;;;Gremminger;Gremminger;Gremminger;
09:50-11:20;Labor Verteilte Systeme;;Verteilte Informationssysteme;;;
;E303;;E304;;;
;Gremminger;;Gremminger;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;Verteilte Informationssysteme;
;;;;;E201;
;;;;;Gremminger;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Haneke;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;BWL;BWL;
;;;;E305;E213;
;;;;Haneke;Haneke;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;Geschäftsprozesse;;BWL;IT Projektmanagement;
;;E301;;E302;E305;
;;Haneke;;Haneke;Haneke;
14:00-15:30;;;;;BWL;
;;;;;E302;
;;;;;Haneke;
15:40-17:10;Projektmanagement;Business Intelligence;;;;
;E301;E203;;;;
;Haneke;Haneke;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Heberle;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Henning;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;Visualization and Semantics;;
;;;;E201;;
;;;;Henning;;
09:50-11:20;;Gameprogramming;Visualization and Semantics Lab;;;
;;E305;LI141;;;
;;Henning;Henning;;;
11:30-13:00;Multimedia;;;;;
;E213;;;;;
;Henning;;;;;
14:00-15:30;;Computergrafik;;;;
;;E213;;;;
;;Henning;;;;
15:40-17:10;Computergrafik;;;;;
;E213;;;;;
;Henning;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Hoffmann;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Technische Informatik 1 Übung;Embedded Software;;Technische Informatik 1;;
;E203;E201;;E203;;
;Hoffmann, Sutterer;Hoffmann;;Hoffmann, Sutterer;;
09:50-11:20;;Technische Informatik 1;;Embedded Labor;Technische Informatik 1 Übung;
;;E213;;LI137;E302;
;;Hoffmann, Sutterer;;Hoffmann;Hoffmann, Sutterer;
11:30-13:00;Technische Informatik 1;;;Embedded Labor;;
;E303;;;LI137;;
;Hoffmann, Sutterer;;;Hoffmann;;
14:00-15:30;Qualitätssicherung;;;Technische Informatik 1;Datenrepräsentation und -übertragung;
;E305;;;E304;E301;
;Hoffmann;;;Hoffmann, Sutterer;Hoffmann;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Hofmann;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Hüttel;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;Führungskräftetraining;;;;
;;E305;;;;
;;Hüttel;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Körner;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Praxisvorbereitung;;Theoretische Informatik 1;Praxisvorbereitung;;
;E302;;E201;E304;;
;Körner, Thielemann;;Körner;Körner, Thielemann;;
09:50-11:20;Praxisvorbereitung;Sprachen und Metasprachen;;Praxisvorbereitung;;
;E302;E203;;E304;;
;Körner, Thielemann;Körner;;Körner, Thielemann;;
11:30-13:00;Praxisvorbereitung;;;Praxisvorbereitung;;
;E302;;;E304;;
;Körner, Thielemann;;;Körner, Thielemann;;
14:00-15:30;Theoretische Informatik 1;Algorithmenentwurf;Theoretische Informatik 1;;;
;E304;E303;E304;;;
;Körner;Körner;Körner;;;
15:40-17:10;;;;Theoretische Informatik 1;;
;;;;E213;;
;;;;Körner;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Laubenheimer;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;Data Mining;;;Mathematik 2 Labor;;
;E201;;;E303;;
;Laubenheimer;;;Laubenheimer;;
09:50-11:20;;;Labor Bildverarbeitung;;;
;;;E303;;;
;;;Laubenheimer;;;
11:30-13:00;;;;;Mathematik 2;
;;;;;E303;
;;;;;Laubenheimer;
14:00-15:30;Computer Vision;;;;;
;E301;;;;;
;Laubenheimer;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Link;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;Intelligente Systeme;;;
;;;E213;;;
;;;Link;;;
09:50-11:20;Labor Autonome Systeme;;;;;
;LI137;;;;;
;Link;;;;;
11:30-13:00;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
14:00-15:30;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
15:40-17:10;;Digital-Labor;;;;
;;E201;;;;
;;Ditzinger, Link;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Martin;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Meisel;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Morgenstern;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;Praxisnachbereitung;;;;
;;E201;;;;
;;Morgenstern;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Müller;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Nees;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
09:50-11:20;;;;;;
;;;;;;
;;;;;;
11:30-13:00;;;;;;
;;;;;;
;;;;;;
14:00-15:30;;;;;;
;;;;;;
;;;;;;
15:40-17:10;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
 Nestler;Monday;Tuesday;Wednesday;Thursday;Friday;
08:00-09:30;;;;;;
;;;;;;
;;;;;;
